"Step","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","tough-morning-75penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","elated-cherry-74penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MIN","whole-shadow-73penalty_weight0.25 - custom_metrics.total_energy_costs_mean__MAX"
"159","1212.088169172172","1212.088169172172","1212.088169172172","1194.7517603818314","1194.7517603818314","1194.7517603818314","1192.1192603628654","1192.1192603628654","1192.1192603628654"
"161","1211.9027991750168","1211.9027991750168","1211.9027991750168","1194.8726360874925","1194.8726360874925","1194.8726360874925","1193.2505115655713","1193.2505115655713","1193.2505115655713"
"163","1212.0774001327563","1212.0774001327563","1212.0774001327563","1194.7823260454531","1194.7823260454531","1194.7823260454531","1191.9840218383533","1191.9840218383533","1191.9840218383533"
"165","1212.3450163953603","1212.3450163953603","1212.3450163953603","1193.8664470398585","1193.8664470398585","1193.8664470398585","1191.1452062110814","1191.1452062110814","1191.1452062110814"
"167","1212.425693883744","1212.425693883744","1212.425693883744","1193.704995957265","1193.704995957265","1193.704995957265","1191.7115745772346","1191.7115745772346","1191.7115745772346"
"169","1212.019261627209","1212.019261627209","1212.019261627209","1193.183309062174","1193.183309062174","1193.183309062174","1192.0984040332514","1192.0984040332514","1192.0984040332514"
"171","1211.9749566425392","1211.9749566425392","1211.9749566425392","1191.8631972721812","1191.8631972721812","1191.8631972721812","1191.7791997660959","1191.7791997660959","1191.7791997660959"
"173","1211.7080807409047","1211.7080807409047","1211.7080807409047","1192.018020580333","1192.018020580333","1192.018020580333","1191.623822694945","1191.623822694945","1191.623822694945"
"175","1211.496224386004","1211.496224386004","1211.496224386004","1191.7215408414197","1191.7215408414197","1191.7215408414197","1191.9497110724776","1191.9497110724776","1191.9497110724776"
"177","1211.3057104940422","1211.3057104940422","1211.3057104940422","1191.7188504282958","1191.7188504282958","1191.7188504282958","1192.3068585358906","1192.3068585358906","1192.3068585358906"
"179","1211.721436937763","1211.721436937763","1211.721436937763","1191.702175816291","1191.702175816291","1191.702175816291","1192.889472333027","1192.889472333027","1192.889472333027"
"181","1211.858579647249","1211.858579647249","1211.858579647249","1191.8829427284509","1191.8829427284509","1191.8829427284509","1193.3730771501716","1193.3730771501716","1193.3730771501716"
"183","1211.935749363088","1211.935749363088","1211.935749363088","1192.3906368998325","1192.3906368998325","1192.3906368998325","1193.953507946391","1193.953507946391","1193.953507946391"
"185","1212.4129259285019","1212.4129259285019","1212.4129259285019","1192.6239765527705","1192.6239765527705","1192.6239765527705","1194.9710874450795","1194.9710874450795","1194.9710874450795"
"187","1212.5274701046249","1212.5274701046249","1212.5274701046249","1193.0094891076901","1193.0094891076901","1193.0094891076901","1195.2377377184932","1195.2377377184932","1195.2377377184932"
"189","1211.821028346557","1211.821028346557","1211.821028346557","1193.3213744824097","1193.3213744824097","1193.3213744824097","1194.935125546037","1194.935125546037","1194.935125546037"
"191","1211.975651752695","1211.975651752695","1211.975651752695","1193.5034637860729","1193.5034637860729","1193.5034637860729","1194.1461927489954","1194.1461927489954","1194.1461927489954"
"193","1211.8863102316911","1211.8863102316911","1211.8863102316911","1193.1840607263644","1193.1840607263644","1193.1840607263644","1193.7183145936713","1193.7183145936713","1193.7183145936713"
"195","1212.0205981572215","1212.0205981572215","1212.0205981572215","1193.239945993615","1193.239945993615","1193.239945993615","1192.8699119290695","1192.8699119290695","1192.8699119290695"
"197","1212.240282779657","1212.240282779657","1212.240282779657","1193.817073660587","1193.817073660587","1193.817073660587","1192.7331375794158","1192.7331375794158","1192.7331375794158"
"199","1212.0458005752764","1212.0458005752764","1212.0458005752764","1193.1647987483009","1193.1647987483009","1193.1647987483009","1192.8724961089854","1192.8724961089854","1192.8724961089854"
"201","1212.0526838195785","1212.0526838195785","1212.0526838195785","1193.0289900464647","1193.0289900464647","1193.0289900464647","1193.3857170812648","1193.3857170812648","1193.3857170812648"
"203","1211.704195467333","1211.704195467333","1211.704195467333","1193.649988586149","1193.649988586149","1193.649988586149","1193.6682595315604","1193.6682595315604","1193.6682595315604"
"205","1211.814505733793","1211.814505733793","1211.814505733793","1194.0816490343586","1194.0816490343586","1194.0816490343586","1194.3602628567805","1194.3602628567805","1194.3602628567805"
"207","1211.0288281126534","1211.0288281126534","1211.0288281126534","1195.5495109902959","1195.5495109902959","1195.5495109902959","1194.059105139551","1194.059105139551","1194.059105139551"
"209","1210.6369620286378","1210.6369620286378","1210.6369620286378","1196.874159070076","1196.874159070076","1196.874159070076","1193.169911967","1193.169911967","1193.169911967"
"211","1210.474188620919","1210.474188620919","1210.474188620919","1197.7502478932893","1197.7502478932893","1197.7502478932893","1193.4498002749938","1193.4498002749938","1193.4498002749938"
"213","1210.7629980529132","1210.7629980529132","1210.7629980529132","1198.3601174068335","1198.3601174068335","1198.3601174068335","1192.7936685652865","1192.7936685652865","1192.7936685652865"
"215","1211.0696858235615","1211.0696858235615","1211.0696858235615","1198.320228653159","1198.320228653159","1198.320228653159","1192.6017647564552","1192.6017647564552","1192.6017647564552"
"217","1210.171030309448","1210.171030309448","1210.171030309448","1198.3799302746781","1198.3799302746781","1198.3799302746781","1192.387639526503","1192.387639526503","1192.387639526503"
"219","1210.789405060531","1210.789405060531","1210.789405060531","1196.5322342478742","1196.5322342478742","1196.5322342478742","1193.011371454309","1193.011371454309","1193.011371454309"
"221","1211.2563088662014","1211.2563088662014","1211.2563088662014","1195.280185646553","1195.280185646553","1195.280185646553","1192.9898753642876","1192.9898753642876","1192.9898753642876"
"223","1212.0881785030192","1212.0881785030192","1212.0881785030192","1194.8422214242814","1194.8422214242814","1194.8422214242814","1192.8354111609817","1192.8354111609817","1192.8354111609817"
"225","1212.1576056168412","1212.1576056168412","1212.1576056168412","1195.160978095268","1195.160978095268","1195.160978095268","1193.4239596327077","1193.4239596327077","1193.4239596327077"
