"Step","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","fanciful-leaf-84penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","spring-brook-83penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MIN","exalted-resonance-82penalty_weight1 - custom_metrics.total_energy_costs_mean__MAX"
"173","1174.8117623384007","1174.8117623384007","1174.8117623384007","1153.3109836805","1153.3109836805","1153.3109836805","1191.7617820052467","1191.7617820052467","1191.7617820052467"
"175","1171.2279794070228","1171.2279794070228","1171.2279794070228","1152.1374270347999","1152.1374270347999","1152.1374270347999","1190.753086430445","1190.753086430445","1190.753086430445"
"177","1169.289531459999","1169.289531459999","1169.289531459999","1151.7763471410049","1151.7763471410049","1151.7763471410049","1190.7467532793873","1190.7467532793873","1190.7467532793873"
"179","1167.2616002370635","1167.2616002370635","1167.2616002370635","1152.8991237538319","1152.8991237538319","1152.8991237538319","1191.4648251888605","1191.4648251888605","1191.4648251888605"
"181","1164.5967266460152","1164.5967266460152","1164.5967266460152","1155.088364807029","1155.088364807029","1155.088364807029","1191.1424867149217","1191.1424867149217","1191.1424867149217"
"183","1164.022404861396","1164.022404861396","1164.022404861396","1152.9315331889866","1152.9315331889866","1152.9315331889866","1191.3890210196914","1191.3890210196914","1191.3890210196914"
"185","1165.2591896007832","1165.2591896007832","1165.2591896007832","1152.8874721149277","1152.8874721149277","1152.8874721149277","1191.8549102095642","1191.8549102095642","1191.8549102095642"
"187","1163.5207396782241","1163.5207396782241","1163.5207396782241","1154.0401794670788","1154.0401794670788","1154.0401794670788","1188.1002343553428","1188.1002343553428","1188.1002343553428"
"189","1160.8943168568442","1160.8943168568442","1160.8943168568442","1151.9087934949573","1151.9087934949573","1151.9087934949573","1188.3968029743648","1188.3968029743648","1188.3968029743648"
"191","1159.276353001232","1159.276353001232","1159.276353001232","1150.6739307488056","1150.6739307488056","1150.6739307488056","1188.3514443815777","1188.3514443815777","1188.3514443815777"
"193","1159.2065844770357","1159.2065844770357","1159.2065844770357","1147.6938362328908","1147.6938362328908","1147.6938362328908","1185.6948183677334","1185.6948183677334","1185.6948183677334"
"195","1156.071338252678","1156.071338252678","1156.071338252678","1146.6850266017625","1146.6850266017625","1146.6850266017625","1184.9787825267877","1184.9787825267877","1184.9787825267877"
"197","1153.0050845181268","1153.0050845181268","1153.0050845181268","1145.146998830482","1145.146998830482","1145.146998830482","1185.2463717451078","1185.2463717451078","1185.2463717451078"
"199","1153.6356251382867","1153.6356251382867","1153.6356251382867","1148.542008452128","1148.542008452128","1148.542008452128","1186.982051819072","1186.982051819072","1186.982051819072"
"201","1153.1482054082237","1153.1482054082237","1153.1482054082237","1151.9108385529591","1151.9108385529591","1151.9108385529591","1186.003931343047","1186.003931343047","1186.003931343047"
"203","1154.4937580933708","1154.4937580933708","1154.4937580933708","1156.245860391313","1156.245860391313","1156.245860391313","1182.9901508581718","1182.9901508581718","1182.9901508581718"
"205","1153.0157945095925","1153.0157945095925","1153.0157945095925","1158.7703017416309","1158.7703017416309","1158.7703017416309","1182.8873351582001","1182.8873351582001","1182.8873351582001"
"207","1153.0713512343134","1153.0713512343134","1153.0713512343134","1161.2269827195996","1161.2269827195996","1161.2269827195996","1181.0793239150357","1181.0793239150357","1181.0793239150357"
"209","1152.2552239498048","1152.2552239498048","1152.2552239498048","1160.8857690330933","1160.8857690330933","1160.8857690330933","1179.8185218604792","1179.8185218604792","1179.8185218604792"
"211","1152.0117020956468","1152.0117020956468","1152.0117020956468","1155.892707592375","1155.892707592375","1155.892707592375","1177.2469416316333","1177.2469416316333","1177.2469416316333"
"213","1151.3393862313105","1151.3393862313105","1151.3393862313105","1151.3655483421298","1151.3655483421298","1151.3655483421298","1176.5861237980837","1176.5861237980837","1176.5861237980837"
"215","1152.1011695830823","1152.1011695830823","1152.1011695830823","1149.4198061573463","1149.4198061573463","1149.4198061573463","1178.0681949457905","1178.0681949457905","1178.0681949457905"
"217","1150.5302734582917","1150.5302734582917","1150.5302734582917","1149.180573249675","1149.180573249675","1149.180573249675","1179.2441236558454","1179.2441236558454","1179.2441236558454"
"219","1149.6999781173931","1149.6999781173931","1149.6999781173931","1148.2096723172222","1148.2096723172222","1148.2096723172222","1179.7365830293636","1179.7365830293636","1179.7365830293636"
"221","1149.3714952808411","1149.3714952808411","1149.3714952808411","1148.1385276732926","1148.1385276732926","1148.1385276732926","1179.0594253563859","1179.0594253563859","1179.0594253563859"
"223","1147.2494254006376","1147.2494254006376","1147.2494254006376","1149.7252203148198","1149.7252203148198","1149.7252203148198","1179.4449637797509","1179.4449637797509","1179.4449637797509"
"225","1144.55938157537","1144.55938157537","1144.55938157537","1149.8004299649133","1149.8004299649133","1149.8004299649133","1178.354257657173","1178.354257657173","1178.354257657173"
"227","1143.0722942251152","1143.0722942251152","1143.0722942251152","1147.6621314758027","1147.6621314758027","1147.6621314758027","1179.0215053070765","1179.0215053070765","1179.0215053070765"
"229","1145.6169370294267","1145.6169370294267","1145.6169370294267","1147.409724550367","1147.409724550367","1147.409724550367","1177.568156582482","1177.568156582482","1177.568156582482"
"231","1148.7746564939778","1148.7746564939778","1148.7746564939778","1145.9189907355299","1145.9189907355299","1145.9189907355299","1177.024106615671","1177.024106615671","1177.024106615671"
"233","1151.9527492461352","1151.9527492461352","1151.9527492461352","1146.1991098112956","1146.1991098112956","1146.1991098112956","1176.740088876947","1176.740088876947","1176.740088876947"
"235","1154.2033572683877","1154.2033572683877","1154.2033572683877","1146.6913612510655","1146.6913612510655","1146.6913612510655","1178.0153032872897","1178.0153032872897","1178.0153032872897"
"237","1155.0182171128733","1155.0182171128733","1155.0182171128733","1148.1156032620022","1148.1156032620022","1148.1156032620022","1177.2064725827345","1177.2064725827345","1177.2064725827345"
"239","1155.893464898694","1155.893464898694","1155.893464898694","1155.1678041280766","1155.1678041280766","1155.1678041280766","1175.8803367165021","1175.8803367165021","1175.8803367165021"
"241","1156.6699767550645","1156.6699767550645","1156.6699767550645","1158.0864357966925","1158.0864357966925","1158.0864357966925","1174.9340489079236","1174.9340489079236","1174.9340489079236"
"243","1156.6227469766407","1156.6227469766407","1156.6227469766407","1158.8936094888884","1158.8936094888884","1158.8936094888884","1173.6250364067382","1173.6250364067382","1173.6250364067382"
"245","1159.6784831684413","1159.6784831684413","1159.6784831684413","1158.5466930903676","1158.5466930903676","1158.5466930903676","1172.4663109713306","1172.4663109713306","1172.4663109713306"
"247","1162.5309330467485","1162.5309330467485","1162.5309330467485","1158.8794802825794","1158.8794802825794","1158.8794802825794","1171.2291793216796","1171.2291793216796","1171.2291793216796"
"249","1164.1672506874854","1164.1672506874854","1164.1672506874854","1153.7475772260316","1153.7475772260316","1153.7475772260316","1170.5967080696646","1170.5967080696646","1170.5967080696646"
"251","1163.6441804564267","1163.6441804564267","1163.6441804564267","1148.713579283749","1148.713579283749","1148.713579283749","1173.457801763757","1173.457801763757","1173.457801763757"
"253","1161.2981061320597","1161.2981061320597","1161.2981061320597","1145.5249021082898","1145.5249021082898","1145.5249021082898","1175.4184530581274","1175.4184530581274","1175.4184530581274"
"255","1159.7422645415168","1159.7422645415168","1159.7422645415168","1142.3247845465737","1142.3247845465737","1142.3247845465737","1176.8087468976194","1176.8087468976194","1176.8087468976194"
